542828	0077099478
576090	0273658131
265524	0745601138
27707	0807046329
	
155579	0804708509
8155	0130853429
16306	0412628406
554498	0077103661
34627	1852783230
0199290296	
656737	1859418821
614965	0761974423
32315	0952845008
14317	0333551567
279031	0198248547
22285	063118385X
16205	0406900108
1445	0406507163
166115	0460140043
211041	0521234913
282774	0812282574
223490	0521239656
290234	0804717796
313370	0804713669
239219	0853453721
18994	0485195690
425939	0030525861
230452	0312887302
220951	0521240638
236343	0710202938
316835	0413671208
525863	0415173787
549957	0471107875
14120	0315-0836
317203	0415098580
528706	9057551519
32504	0960-6106
173441	0245527079
31279	1854596837
29082	0822952696
15805	0375706720
548427	1581152337
523212	1854596306
521731	0415270251
429528	0413349101
317353	0415100836
317248	0415124913
305557	0415087953
304937	0415081491
288174	0415053080
34707	1853025488
30691	0871270145
17688	0415194512
481435	9057021064
5590	0413696103
316124	1854591657
299161	0701138084
296586	0930452569
34015	1576870049
33532	1559361107
17680	041519282X
16639	0415081548
525838	0415182379
305553	0415092159
299562	0415060370
33273	1555540570
24384	0719047625
533402	0273646613
323476	0582239532
283553	0471517321
176487	0471959804
144793	0471959723
7497	007033448X
307582	0198556950
7349	0047-2484
546635	0201770512
0821341154	
540145	0195211235
445809	0140222898
300143	0198773323
299634	0198283652
285243	1852764598
282314	0745002412
220889	0198284268
163873	0902308831
160845	0198770529
30162	0854045643
37544	1891389068
26953	0801850274
16069	0393968510
15065	0333746783
14343	0333572246
11499	020164858X
9763	0195115899
546962	0333980883
533036	9211124662
641422	0321270452
3962	0333776771
143826	0063180103
559248	0063182122
542037	0140287752
316359	0712656871
619020	0415700337
8858	0140810188
619109	0471986062
257055	0803980884
242609	0471279110
244478	0709917058
23404	0702022756
6266	0006547516
619357	0006551580
619894	0586082549
313015	0004990005
312040	0815316216
185628	047099388X
35486	1855780097
310329	0582493099
310213	0709904703
283822	0387512764
227036	0135726859
307814	0471005150
543773	0742503593
15850	0385483996
4843	063120296X
4850	0500281475
297626	0521338182
278287	0500013608
274275	0563205792
430735	071343631x
258382	0416854605
318293	0631169318
17391	0415162505
318002	0521409578
2802	0631195610
17015	0415127777
280541	0745601847
16663	0415088704
305671	041507942x
13748	0305-9932
0750305738	
4851	0415146356
429527	0861040805
4844	0415216001
306139	0415021375
322231	0816624267
223490	0521283752
4848	0718500245
558548	0721914411
322822	0387945814
286667	0582057094
308280	0952176211
30135	0854045392
29901	0852927436
8002	0122063708
12414	0262-4079
315577	0415053889
297303	0415071291
302112	1853961590
23754	0714121347
23742	0714117668
17309	0415153263
316974	0415075602
317290	1560985119
23720	0714105856
561021	0471485535
591701	0240516435
619692	0745316573
11366	0201360667
301338	0071125809
544973	0324066716
561546	0273655647
561536	186152241x
13804	0306-6800
21186	0521649730
621372	0028-0836
568277	0195041844
545235	0130491470
614183	046509516X
8154	0130819220
8954	0144-6665
9869	0195138635
318135	0674258614
23010	0688128165
114807	0807811041
6689	0021-9010
606460	0335212670
7091	0033-295x
613947	0262042193
317367	0674644875
22951	 0674995872
154956	 0701120606
523673	0745613578
526526	0745608930
543798	0745622909
4238	0415115140
526465	0521299462
412313	 0140440399
526465	 0521299462
412313	0140440399
668779	0077107810
262971	 0918400074
625853	0199266514
678065	 0226734005
153895	 0888665237
314094	019814931X
18874	0472084194
683948	0435510843
683945	0435510835
683941	0435510827
294473	0198148801
18157	0435518119
573878	0435510932
573875	0435510924
573874	0435510916
573871	0435510908
573865	0435510894
573864	0435510886
25411	0748717579
16783	0415105935
648162	0748755098
536183	1853312053
672185	0195174976
544964	 9004120602
532640	0415233348
22037	058229438X
19911	0521417694
